anger,happy,fear,sad,excite,brightness,loudness,mean
-0.147018217,0.686264403,-0.024044326,-0.080662821,-0.605243002,0.470932146,0.004263554,1
-0.540909539,0.687821144,-0.023844723,-0.145350446,-0.597372175,0.500054298,0.003278356,1
-0.7902781,0.542439574,-0.022395328,-0.179363215,-0.549030891,0.532894657,0.003410889,1
-0.914919098,0.417876284,-0.020090311,-0.189480644,-0.478303211,0.558043142,0.004313964,1
-0.9413171,0.512439866,-0.017317482,-0.182607997,-0.399139274,0.567965059,0.006145331,1
-0.897270253,0.865111284,-0.014409101,-0.165026133,-0.321264028,0.564259028,0.00870439,1
-0.808474491,1.265830812,-0.011615499,-0.141926604,-0.250642737,0.553036834,0.011008976,1
-0.696509016,1.475605831,-0.009099454,-0.117214896,-0.184113118,0.541426793,0.012691268,1
-0.577925413,1.41734388,-0.006945461,-0.093534141,-0.09680248,0.53384502,0.015597589,1
-0.464202477,1.153963785,-0.005176961,-0.072437235,-0.001761845,0.531566901,0.022932844,1
-0.362307429,0.792703984,-0.003775675,-0.054631693,0.069894192,0.533784209,0.03202241,1
-0.275594388,0.423298968,-0.002699087,-0.040235285,0.105234063,0.538978372,0.03821221,1
-0.198669007,0.100265625,-0.001894144,-0.02900202,0.109199763,0.546164868,0.039746021,1
-0.089550076,-0.151937532,-0.001306717,-0.020499024,0.093454876,0.552824248,0.037268525,1
0.127292684,-0.328297709,-0.000887276,-0.014230792,0.068785706,0.550727365,0.032482491,1
0.507087662,-0.434621817,-0.000593643,-0.009716957,0.042569325,0.535123573,0.026964426,1
1.024952316,-0.482095093,-0.000391756,-0.006533954,0.018984945,0.508660218,0.02173518,1
1.589204286,-0.484063486,-0.000255225,-0.004331557,-1.02E-05,0.477463576,0.01742434,1
2.057515645,-0.454016953,-0.000164287,-0.002833737,-0.013824773,0.448708837,0.014420788,1
2.26910462,-0.395036467,-0.000104563,-0.001831068,-0.022674016,0.433797343,0.012882492,1
2.170965291,-0.263456097,-6.58E-05,-0.00116956,-0.027235346,0.43834264,0.012212374,1
1.845544184,0.009802768,-4.11E-05,-0.000738967,-0.028416769,0.457360332,0.011558284,1
1.513679055,0.498012576,-2.54E-05,-0.000462162,-0.027184883,0.481015954,0.010611562,1
1.496945918,1.158486696,-1.55E-05,-0.000286279,-0.02443842,0.496873023,0.010433027,1
1.741150096,1.932732782,-9.42E-06,-0.00017573,-0.020927671,0.497945596,0.011441409,1
1.963884439,2.715956623,-5.67E-06,-0.000106949,-0.01721823,0.484221902,0.013487777,1
1.964779812,3.375393248,-3.39E-06,-6.46E-05,-0.01369114,0.462886011,0.015817494,1
1.717567577,3.915653993,0.009200244,-3.87E-05,-0.010567334,0.443325547,0.017713597,1
1.309368272,4.379446793,0.069990165,0.032184898,-0.007943874,0.432382466,0.019039171,1
0.855187437,4.643903698,0.178040428,0.260676666,-0.005832036,0.431181611,0.020476152,1
0.488156071,4.503754313,0.276254611,0.736154299,-0.004190877,0.436231165,0.021988326,1
0.375181152,3.917664823,0.322613646,1.223950517,-0.002953323,0.440016612,0.022910808,1
0.577461601,3.02860461,0.313082514,1.493972118,-0.002044304,0.437424741,0.022824449,1
0.987426546,2.044838952,0.265114417,1.494908832,-0.001391949,0.429045324,0.021974474,1
1.381974925,1.194172143,0.199491715,1.296448898,-0.000933435,0.419079162,0.020848673,1
1.56551179,0.718796057,0.131843464,1.002163597,-0.000617171,0.415195888,0.019962777,1
1.49383318,0.70669018,0.071359029,0.711369982,-0.000402729,0.422475449,0.019893412,1
1.2711449,0.930867573,0.022320083,0.465709764,-0.000259589,0.437103302,0.020122219,1
1.017159459,1.192728479,-0.014084178,0.263008994,-0.000165413,0.450907185,0.020158848,1
0.763291082,1.545781845,-0.038460448,0.096126701,-0.000104274,0.462727198,0.021703047,1
0.507769722,1.908975988,-0.052412808,-0.035838471,-6.51E-05,0.473971466,0.02640324,1
0.286920306,2.066404767,-0.058035243,-0.131656096,-4.02E-05,0.482446112,0.032275647,1
0.180759721,1.921728466,-0.057551542,-0.192401788,-2.46E-05,0.481741637,0.036548899,1
0.197769073,1.536454049,-0.053049803,-0.2224952,-1.50E-05,0.468583114,0.037659718,1
0.268642898,1.036835852,-0.046305349,-0.228548048,-9.02E-06,0.446433669,0.035580539,1
0.31053428,0.556021554,-0.038691977,-0.21772478,-5.39E-06,0.425552321,0.032343079,1
0.286149221,0.240919986,-0.031170485,-0.196518948,-3.20E-06,0.413739029,0.030345889,1
0.206304841,0.15788988,-0.024332783,-0.170142301,-1.89E-06,0.412736198,0.031011159,1
0.100518987,0.243069674,-0.018476392,-0.142390091,-1.11E-06,0.420153493,0.037722057,1
-0.004769752,0.345939934,-0.013687379,-0.115777334,-6.43E-07,0.431292583,0.047829207,1
-0.093455165,0.371886946,-0.009916538,-0.091785887,-3.72E-07,0.442727896,0.055720822,1
-0.157211227,0.372259135,-0.007040772,-0.071127993,-2.14E-07,0.452638897,0.060694023,1
-0.163543987,0.505947205,-0.004907415,-0.053981897,-1.23E-07,0.460934859,0.065345029,1
0.004549262,0.790552657,-0.003362844,-0.040184039,-6.98E-08,0.468107919,0.068731973,1
0.364925016,1.159409672,-0.002268553,-0.029376325,-3.95E-08,0.474232295,0.070690603,1
0.807276079,1.672395067,-0.00150827,-0.021112738,-2.23E-08,0.478709684,0.071022368,1
1.164355831,2.328146353,-0.000989329,-0.014931649,-1.25E-08,0.480582572,0.067640246,1
1.317525526,3.093918856,-0.000640812,-0.010400709,-6.98E-09,0.475240818,0.059715227,1
1.268342542,3.892717239,-0.000410209,-0.007140974,-3.89E-09,0.460088314,0.04855308,1
1.182341481,4.396153821,-0.000259709,-0.00483633,-2.15E-09,0.437524198,0.036236037,1
1.381985349,4.346649865,-0.000162729,-0.003233278,-1.19E-09,0.412506147,0.024731985,1
1.98803321,3.775920329,-0.000100974,-0.002135138,-6.53E-10,0.389443869,0.015323362,1
2.81012089,2.892535366,-6.21E-05,-0.001393591,0.001533709,0.371569159,0.008623925,1
